participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_response,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
13434,1,1,1,1,R,X,"1,4,2,3",3,0.3388377000001128,0.3388377000001128,j,j,True,False,False,1,,2,1,2,1
13434,1,1,2,2,P,X,"1,4,2,3",1,0.29330819999995583,0.29330819999995583,s,s,True,False,False,1,,2,1,2,1
13434,1,1,3,3,R,L,"1,4,2,3",4,0.20401780000020153,0.20401780000020153,l,f,False,False,False,1,,2,1,2,1
13434,1,1,3,3,R,L,"1,4,2,3",4,0.11998749999975189,0.3240052999999534,l,l,True,False,False,1,,2,1,2,1
13434,1,1,4,4,P,H,"1,4,2,3",4,0.18970350000017788,0.18970350000017788,l,f,False,False,False,1,,2,1,2,1
13434,1,1,4,4,P,H,"1,4,2,3",4,0.04795039999999062,0.2376539000001685,l,l,True,False,False,1,,2,1,2,1
13434,1,1,5,5,R,H,"1,4,2,3",2,0.21410170000035578,0.21410170000035578,f,f,True,False,False,1,,2,1,2,1
13434,1,1,6,6,P,H,"1,4,2,3",2,0.22458599999981743,0.22458599999981743,f,f,True,False,False,1,,2,1,2,1
13434,1,1,7,7,R,L,"1,4,2,3",1,0.2667286000000786,0.2667286000000786,s,s,True,False,False,1,,2,1,2,1
13434,1,1,8,8,P,H,"1,4,2,3",3,0.24367449999999735,0.24367449999999735,j,j,True,False,False,1,,2,1,2,1
