participant,session,block_number,trial_number,trial_in_block_num,trial_type,triplet_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_response,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
144,1,1,1,1,R,X,"1,4,2,3",3,1.5652944000003117,1.5652944000003117,j,j,True,False,False,1,,1,2,1,3
144,1,1,2,2,P,X,"1,4,2,3",1,0.5725719000001845,0.5725719000001845,s,s,True,False,False,1,,1,2,1,3
144,1,1,3,3,R,T,"1,4,2,3",3,0.40603009999995265,0.40603009999995265,j,j,True,False,False,1,,1,2,1,3
144,1,1,4,4,P,H,"1,4,2,3",4,0.4391760999997132,0.4391760999997132,l,l,True,False,False,1,,1,2,1,3
144,1,1,5,5,R,L,"1,4,2,3",4,0.35159479999947507,0.35159479999947507,l,l,True,False,False,1,,1,2,1,3
144,1,1,6,6,P,H,"1,4,2,3",2,0.29727180000008957,0.29727180000008957,f,f,True,False,False,1,,1,2,1,3
144,1,1,7,7,R,L,"1,4,2,3",1,0.29493619999993825,0.29493619999993825,s,s,True,False,False,1,,1,2,1,3
144,1,1,8,8,P,H,"1,4,2,3",3,0.27806930000042485,0.27806930000042485,j,j,True,False,False,1,,1,2,1,3
144,1,1,9,9,R,H,"1,4,2,3",4,0.3079025000006368,0.3079025000006368,l,l,True,False,False,1,,1,2,1,3
144,1,1,10,10,P,H,"1,4,2,3",1,0.30622629999925266,0.30622629999925266,s,s,True,False,False,1,,1,2,1,3
144,1,1,11,11,R,H,"1,4,2,3",2,0.2866372999997111,0.2866372999997111,f,f,True,False,False,1,,1,2,1,3
144,1,1,12,12,P,H,"1,4,2,3",4,0.3345188000002963,0.3345188000002963,l,l,True,False,False,1,,1,2,1,3
144,1,1,13,13,R,L,"1,4,2,3",1,0.2997645999994347,0.2997645999994347,s,s,True,False,False,1,,1,2,1,3
144,1,1,14,14,P,H,"1,4,2,3",2,0.2590473000000202,0.2590473000000202,f,f,True,False,False,1,,1,2,1,3
144,1,1,15,15,R,L,"1,4,2,3",2,0.2677069000001211,0.2677069000001211,f,f,True,False,False,1,,1,2,1,3
144,1,1,16,16,P,H,"1,4,2,3",3,0.29733130000022356,0.29733130000022356,j,j,True,False,False,1,,1,2,1,3
