participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_response,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
4242,1,1,1,1,R,X,"1,4,2,3",4,0.5440947999995842,0.5440947999995842,l,l,True,False,False,1,,1,1,2,1
4242,1,1,2,2,P,X,"1,4,2,3",1,0.5446134999992864,0.5446134999992864,s,s,True,False,False,1,,1,1,2,1
4242,1,1,3,3,R,L,"1,4,2,3",1,0.35514379999949597,0.35514379999949597,s,s,True,False,False,1,,1,1,2,1
4242,1,1,4,4,P,H,"1,4,2,3",4,0.3745864000002257,0.3745864000002257,l,l,True,False,False,1,,1,1,2,1
4242,1,1,5,5,R,L,"1,4,2,3",2,0.3502965999996377,0.3502965999996377,f,f,True,False,False,1,,1,1,2,1
4242,1,1,6,6,P,H,"1,4,2,3",2,0.32414740000058373,0.32414740000058373,f,f,True,False,False,1,,1,1,2,1
4242,1,1,7,7,R,L,"1,4,2,3",1,0.32089880000057747,0.32089880000057747,s,s,True,False,False,1,,1,1,2,1
4242,1,1,8,8,P,H,"1,4,2,3",3,0.34297609999975975,0.34297609999975975,j,j,True,False,False,1,,1,1,2,1
4242,1,1,9,9,R,H,"1,4,2,3",4,0.3346868999997241,0.3346868999997241,l,l,True,False,False,1,,1,1,2,1
4242,1,1,10,10,P,H,"1,4,2,3",1,0.3141507999998794,0.3141507999998794,s,s,True,False,False,1,,1,1,2,1
4242,1,1,11,11,R,H,"1,4,2,3",2,0.3222589999995762,0.3222589999995762,f,j,False,False,False,1,,1,1,2,1
4242,1,1,11,11,R,H,"1,4,2,3",2,0.05598050000025978,0.37823949999983597,f,f,True,False,False,1,,1,1,2,1
4242,1,1,12,12,P,H,"1,4,2,3",4,0.3225488999996742,0.3225488999996742,l,l,True,False,False,1,,1,1,2,1
4242,1,1,13,13,R,H,"1,4,2,3",3,0.3127248000000691,0.3127248000000691,j,f,False,False,False,1,,1,1,2,1
4242,1,1,13,13,R,H,"1,4,2,3",3,0.0482374000002892,0.3609622000003583,j,j,True,False,False,1,,1,1,2,1
4242,1,1,14,14,P,H,"1,4,2,3",2,0.286526099999719,0.286526099999719,f,f,True,False,False,1,,1,1,2,1
4242,1,1,15,15,R,T,"1,4,2,3",3,0.3726288999996541,0.3726288999996541,j,j,True,False,False,1,,1,1,2,1
4242,1,1,16,16,P,H,"1,4,2,3",3,0.29363110000031156,0.29363110000031156,j,j,True,False,False,1,,1,1,2,1
